Date,County,Labor Force,Employed,Unemployed,Unemployment Rate (%)
May 2023,Washtenaw,206254,199196,7058,3.4
June 2023,Washtenaw,206282,198638,7644,3.7
July 2023,Washtenaw,207013,199076,7937,3.8
August 2023,Washtenaw,207130,199420,7710,3.7
September 2023,Washtenaw,206143,199409,6734,3.3
October 2023,Washtenaw,205948,199570,6378,3.1
November 2023,Washtenaw,208429,202940,5489,2.6
December 2023,Washtenaw,204346,198817,5529,2.7
January 2024,Washtenaw,205494,199331,6163,3
February 2024,Washtenaw,205400,198805,6595,3.2
March 2024,Washtenaw,207570,200689,6881,3.3
April 2024,Washtenaw,207628,201222,6406,3.1
May 2024,Washtenaw,209210,201350,7860,3.8
June 2024,Washtenaw,209583,200264,9319,4.4
July 2024,Washtenaw,210892,200476,10416,4.9
August 2024,Washtenaw,208425,199203,9222,4.4
September 2024,Washtenaw,209098,201231,7867,3.8
October 2024,Washtenaw,207440,199673,7767,3.7
November 2024,Washtenaw,210596,202661,7935,3.8
December 2024,Washtenaw,207992,199933,8059,3.9
January 2025,Washtenaw,208448,199447,9001,4.3
February 2025,Washtenaw,208293,199367,8926,4.3
March 2025,Washtenaw,210434,200980,9454,4.5
April 2025,Washtenaw,209011,200806,8205,3.9
May 2025,Washtenaw,209162,199656,9506,4.5
June 2025,Washtenaw,207897,197818,10079,4.8
July 2025,Washtenaw,208272,198048,10224,4.9
August 2025,Washtenaw,206997,197759,9238,4.5
September 2025,Washtenaw,207243,199357,7886,3.8
October 2025,Washtenaw,NA,NA,NA,NA
November 2025,Washtenaw,203916,195790,8126,4
December 2025,Washtenaw,200437,192882,7555,3.8
January 2026,Washtenaw,200951,192404,8547,4.3
February 2026,Washtenaw,200849,193431,7418,3.7
March 2026,Washtenaw,199600,192155,7445,3.7
April 2026,Washtenaw,194663,187874,6789,3.5
May 2026,Washtenaw,195259,186778,8481,4.3
